Substack Handle,Author,Newsletter Name,Website URL,Category,Collections
alesiazakharova,Alesia Zakharova,Alesia Zakharova,https://alesiazakharova.substack.com,AI & Machine Learning,SWAI
pubtechradar,Helen King,Generative AI for Curious People,https://generativeaiforcuriouspeople.substack.com,AI & Machine Learning,SWAI
fixchr,Meg & Sarah,Meg & Sarah,https://fixchr.substack.com,AI & Machine Learning,SWAI
builtforproduct,Alicia,Built For Product,https://builtforproduct.substack.com,Product Development,SWAI
pennedbydawn,Dawn Teh,The Thinking Arc,https://thethinkingarc.substack.com,AI & Machine Learning,SWAI
catarinacostaabreu,Catarina Costa Abreu,Leading in the Age of AI,https://catarinacostaabreu.substack.com,Career & Leadership,SWAI
tiffanystjames,Tiffany St James,CAIO Weeknotes,https://tiffanystjames.substack.com,AI & Machine Learning,SWAI
emmaklint,Emma Klint,(Over)Thinking Out Loud,https://emmaklint.substack.com,AI & Machine Learning,SWAI
youandyourai,You & Your AI - 🔮 Cathy Orten,You & Your AI,https://www.youandyourai.ai,AI & Machine Learning,SWAI
poonamparihar,Poonam Parihar,@poonamparihar,https://poonamparihar.substack.com,AI & Machine Learning,SWAI
daringnext,Dallas Payne,Daring Next,https://daringnext.substack.com,AI & Machine Learning,SWAI
acflippo,Annie Flippo,Beyond The Algorithm: Life in the Tech Lane,https://acflippo.substack.com,Technology,SWAI
itslaurahey,Laura O'Driscoll,The Good You Can Do,https://thegoodyoucando.substack.com,Ethics & Society,SWAI
wifeoffire,Wife of Fire,Wife of Fire,https://wifeoffire.substack.com,Parenting & Relationships,SWAI
keshi0710,Keshi Jain,Keshi Jain,https://keshijain.substack.com,AI & Machine Learning,SWAI
cristinapatrick,Cristina,The Responsible AI Brief,https://cristinapatrick.substack.com,Ethics & Society,SWAI
decodedbycounsel,Aashita Jain,Decoded by Counsel,https://decodedbycounsel.substack.com,Law,SWAI
intellectronica,Eleanor Berger,Eleanor on Everything,https://everything.intellectronica.net,AI & Machine Learning,SWAI
rhorst,Now This Might be Something,Now This Might Be Something,https://rhorst.substack.com,AI & Machine Learning,SWAI
devikatoprani,Devika Toprani,Soulful Learning with AI,https://doodlesbydevika.substack.com,Education & Learning,SWAI
sunyalila,Ellen Davis,Living Eternity in Time,https://sunyalila.substack.com,AI & Machine Learning,SWAI
MyfriendMax010101,Erin Grace,My Friend Max,https://myfriendmax010101.substack.com,Parenting & Relationships,SWAI
tawnyameans,Tawnya Means,The Collaboration Chronicle: Human+AI in Education,https://tawnyameans.substack.com,AI & Machine Learning,SWAI
Myvillageisarobot,My Village Is A Robot,My village is a robot,https://Myvillageisarobot.substack.com,Parenting & Relationships,SWAI
ideatoimpactbysj,Shikshita Juyal,Ideas to Impact by SJ,https://shikshita.substack.com,AI & Machine Learning,SWAI
